Ref_Ticket,Date,Heure,Type,Titre,Description,Status,Priority,Items
1,25/02/2026,11:42,Incident,BSOD MEMORY_MANAGEMENT répété,"Écrans bleus MEMORY_MANAGEMENT survenus 3 fois aujourd'hui. Dump analysé, erreurs sur le slot RAM 2. L'utilisateur ne peut plus travailler.",In Progress,Medium,"[""PR-RH-002"", ""PC-SALL-003""]"
2,11/02/2026,07:26,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,Pending,High,"[""PC-MAGA-001"", ""PC-ACCU-008"", ""PC-MAGA-005""]"
3,15/03/2026,18:55,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,New,Critical,"[""PC-DSI-004"", ""SW-SALL-001""]"
4,01/06/2026,17:51,Demande,Remplacement écran cassé,"Suite à une chute, l'écran du laptop LT-DIR-002 est fissuré et illisible. Remplacement dalle sous garantie à vérifier, sinon devis prestataire externe.",In Progress,High,"[""PR-ACCU-003""]"
5,28/02/2026,17:09,Demande,Remplacement écran cassé,"Suite à une chute, l'écran du laptop LT-DIR-002 est fissuré et illisible. Remplacement dalle sous garantie à vérifier, sinon devis prestataire externe.",Resolved,Medium,"[""PC-SALL-002""]"
6,13/02/2026,11:38,Demande,Déploiement VPN pour télétravail,"Suite à la politique de télétravail adoptée, 12 collaborateurs ont besoin d'un accès VPN. Configuration OpenVPN ou FortiClient à déployer selon la politique de sécurité.",Pending,Medium,"[""PC-LOGI-001"", ""MN-LABO-002"", ""PH-MARK-001"", ""PC-SECR-004""]"
7,15/04/2026,11:32,Incident,Téléphone IP — ne prend pas de ligne,"Le téléphone Cisco 8851 du directeur ne présente aucune ligne enregistrée après un redémarrage. Serveur CUCM à vérifier, extension 1001 potentiellement non provisionnée.",Closed,High,"[""SW-SECR-001""]"
8,12/01/2026,13:47,Incident,Imprimante hors ligne — file d'attente bloquée,L'imprimante du service comptabilité apparaît hors ligne sur tous les postes. La file d'impression est bloquée avec 17 documents en attente. Redémarrage du spooler inefficace.,Pending,Medium,"[""PC-MAGA-002""]"
9,01/03/2026,17:53,Demande,Configuration sauvegarde automatique,Le service comptabilité demande la mise en place d'une sauvegarde automatique quotidienne vers le NAS. Veeam ou robocopy selon les ressources disponibles.,Pending,High,"[""MOB-MARK-001""]"
10,11/03/2026,16:02,Demande,Création compte Active Directory,Nouveau stagiaire — Andriamanga Rivo — arrive le 10/06 pour 3 mois. Besoin d'un compte AD avec accès aux partages RH et à l'imprimante du service.,In Progress,High,"[""PC-COMP-003"", ""PC-SALL-004"", ""SW-JURI-001"", ""MN-SALL-003""]"
11,07/05/2026,08:30,Incident,Bourrage papier répété — imprimante Canon,"Bourrages papier fréquents (3 fois par jour) sur le bac 2. Rouleaux d'entraînement probablement usés. Utilisation de papier 80g/m² standard, pas de papier épais.",Closed,Medium,"[""PH-JURI-001"", ""PC-MARK-002"", ""PC-ACCU-006""]"
12,27/03/2026,13:44,Incident,Perte de connectivité WiFi intermittente,Plusieurs utilisateurs de la salle 301 signalent des coupures WiFi toutes les 15-20 minutes. L'AP Ubiquiti redémarre seul selon les logs. Possible interférence ou surcharge.,Resolved,Critical,"[""MOB-SALL-001"", ""PR-MARK-002"", ""PC-SECR-001"", ""MN-SALL-004""]"
13,24/01/2026,12:16,Incident,Imprimante hors ligne — file d'attente bloquée,L'imprimante du service comptabilité apparaît hors ligne sur tous les postes. La file d'impression est bloquée avec 17 documents en attente. Redémarrage du spooler inefficace.,New,High,"[""SW-SALL-001""]"
